ID,UNIDADE,CONVENIADA,MUNICIPIO,PROGRAMA,AÇÃO,OBJETO,NUMERO,INI,FIM,VL.CONVENIO,VL.CONTRAPARTE;
20,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE MARCELÂNDIA,MARCELÂNDIA,Construção da Casa do Índio no perímetro urbano do Município de Marcelândia-MT,72,5168,050/2014,03/07/2014,12/06/2016,164076,18230;
21,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOBRES,NOBRES,Aquisição do produto RL1C para execução de serviços de tapa buraco e recuperação asfáltica em vias urbanas.,72,5168,056/2015,16/12/2015,22/08/2017,100000,19006;
22,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NORTELÂNDIA,NORTELÂNDIA,Execução de Lama Asfaltica no Municipio de Nortelandia-MT,72,5168,119/2015,17/12/2015,18/03/2017,230000,16721;
23,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NORTELÂNDIA,NORTELÂNDIA,Recomposição de Pavimento nas Ruas Elenice M. dos Santos Rua Lurdt Martins Rua Geraldo M. de Melo e Rua Alberto Ormond no município de Nortelândia-MT.,390,5168,0279-2016,16/05/2016,16/05/2017,200000,12389;
24,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA GUARITA,NOVA GUARITA,Construção De Pista de Caminhada na Praça Central. Emenda nº 011-2016.,390,5168,0421-2016,03/06/2016,03/06/2017,50000,17460;
25,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA MARILÂNDIA,NOVA MARILÂNDIA,Construção de Passeio Público em Diversas Ruas do Município de Nova Marilândia - MT.,72,5168,081/2015,18/12/2015,18/12/2016,70000,8088;
26,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA OLÍMPIA,NOVA OLÍMPIA,Aquisição de Massa Asfáltica para Execução de Ondulação Transversal em Vias Urbanas no Município de Nova Olímpia - MT.,72,5168,052/2015,15/12/2015,31/12/2016,10000,611;
27,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA OLÍMPIA,NOVA OLÍMPIA,Ampliação do Centro de Convivência dos Idosos,72,5168,085/2014,30/06/2014,10/05/2017,98612,10956;
28,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA XAVANTINA,NOVA XAVANTINA,Revitalização de logradouro públicos com PMF no Município de Nova Xavantina - MT. Emenda Parlamentar n.º 200/2016 - Baiano Filho (R$ 200.00000).,390,3117,0195-2016,15/06/2016,16/06/2017,300000,176362;
29,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA XAVANTINA,NOVA XAVANTINA,Aquisição de Caminhão equipado com compactador de lixo para atender o Município de Nova Xavantina - MT.,72,5168,040/2015,10/12/2015,06/11/2016,300000,12000;
30,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA XAVANTINA,NOVA XAVANTINA,Aquisição de Material Betuminoso para Pavimentação de Ruas do Município.,72,5168,013/2015,16/11/2015,26/04/2017,100000,22164;
31,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE NOVA XAVANTINA,NOVA XAVANTINA,Aquisição de Material para Revestimento Asfáltico nas Vias Urbanas do Bairro Centro Oeste no Município de Nova Xavantina - MT.,72,5168,036/2015,10/12/2015,19/08/2017,280000,63141;
32,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE PARANATINGA,PARANATINGA,Aquisição de 25 Toneladas de Emulsão Asfáltica RL - 1C para atender o Município de Paranatinga - MT.,72,5168,047/2015,16/12/2015,09/12/2016,30000,19833;
33,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE PEDRA PRETA,PEDRA PRETA,Iluminação pública no Centro de Eventos (trilha do seringal),72,5168,018/2015,01/12/2015,30/12/2016,170000,7682;
34,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE PEDRA PRETA,PEDRA PRETA,REFORMA GERAL E ADEQUAÇÕES NO HOSPITAL E PRONTO ATENDIMENTO MUNICIPAL.,72,5168,090/2015,18/12/2015,17/08/2017,300000,67183;
35,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE PLANALTO DA SERRA,PLANALTO DA SERRA,PROJETO DE ILUMINAÇÃO PUBLICA DA AVENIDA SÃO PEDRO NO MUNICIPIO DE PLANALTO DA SERRA-MT. Emenda parlamentar nº 407/2016 Wilson Santos.,390,5168,0043-2016,21/06/2016,30/06/2017,143000,2977;
36,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE PONTAL DO ARAGUAIA,PONTAL DO ARAGUAIA,RECUPERAÇÃO DE EDIFICAÇÕES PÚBLICAS - ANTIGA ESCOLA SÃO MIGUEL,72,1820,059/2014,26/06/2014,26/06/2016,432000,48000;
37,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE PONTE BRANCA,PONTE BRANCA,AQUISIÇÃO DE INSUMOS PARA PAVIMENTAÇÃO ASFÁLTICA. n.º 036/2016 - R$ 200.00000 (Silvano Amaral) n.º 238/2016 - R$ 200.00000 (Emanuel Pinheiro).,390,3117,1033-2016,20/06/2016,20/06/2017,400000,127476;
38,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE PORTO DOS GAÚCHOS,PORTO DOS GAÚCHOS,RESTAURAÇÃO ASFÁLTICA COM RL-1C EM DIVERSAS RUAS NO MUNICÍPIO DE PORTO DOS GAÚCHOS/MT. Emenda nº 92 Dep. Janaína Riva.,390,3117,0563-2016,10/06/2016,10/06/2017,100000,11858;
39,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE QUERÊNCIA,QUERÊNCIA,Aquisição de Material para Revestimento Asfáltico (trechos da Avenida Central).,72,5168,055/2015,16/12/2015,16/08/2016,50000,5181;
40,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE QUERÊNCIA,QUERÊNCIA,Aquisição de RL-1C e Pó de Brita para Revestimento de trechos da Avenida Cuiabá Rua F19 Rua Goiás Rua F23 Rua B8 Rua Maranhão Travessa F25 Travessa F26.,72,5168,054/2015,16/12/2015,30/08/2016,100000,7221;
41,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE QUERÊNCIA,QUERÊNCIA,Aquisição de Material Betuminosos.,72,5168,006/2015,03/11/2015,10/10/2016,100000,15198;
42,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE QUERÊNCIA,QUERÊNCIA,Aquisição de Material para Restauração Asfáltica (Lama Asfáltica) em trechos da Avenida Mato Grosso Rua Amazonas e Avenida Cuiabá.,72,5168,053/2015,16/12/2015,17/10/2016,100000,4000;
43,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE RESERVA DO CABAÇAL,RESERVA DO CABAÇAL,Aquisição de Emulsão Asfáltica.,72,5168,007/2015,29/10/2015,26/08/2016,80000,10000;
44,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE RESERVA DO CABAÇAL,RESERVA DO CABAÇAL,Aquisição de Emulsão Asfáltica RL-1C.,72,5168,051/2015,15/12/2015,31/12/2016,70000,10000;
45,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE RIBEIRÃOZINHO,RIBEIRÃOZINHO,CONSTRUÇÃO DE CAPELA MORTUÁRIA NO MUNICÍPIO DE RIBEIRÃOZINHO - MT. Emenda n.º 92/2016 - Janaina Riva,390,5168,0559-2016,21/06/2016,21/06/2017,190000,46675;
46,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE RONDONÓPOLIS,RONDONÓPOLIS,Iluminação de Campo de Futebol no Jardim Iguassú no Município de Rondonópolis - MT.,72,5168,113/2015,23/12/2015,30/12/2016,70000,4989;
47,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE RONDONÓPOLIS,RONDONÓPOLIS,Iluminação de Campo de Futebol no Monte Líbano no Município de Rondonópolis - MT.,72,5168,114/2015,23/12/2015,30/12/2016,65000,3656;
48,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SALTO DO CÉU,SALTO DO CÉU,Reforma do Posto de Saúde - Comunidade Vila Progresso na zona rural do Município de Salto do Céu - MT.,72,5168,049/2015,15/12/2015,05/10/2016,45000,2071;
49,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTA CARMEM,SANTA CARMEM,Execução de Iluminação Pública ornamental na Avenida Alvorada no Município de Santa Carmem -MT. EMENDAS PARLAMENTAR - EMENDA 088-2016 E EMENDA 162-2016.,390,5168,0175-2016,30/05/2016,30/05/2017,225000,150286;
50,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTA CARMEM,SANTA CARMEM,DRENAGEM DE ÁGUAS PLUVIAIS RUA TUITUTI,391,5158,0752-2016,06/05/2016,06/05/2017,956737,49730;
51,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTA CARMEM,SANTA CARMEM,CONSTRUÇÃO PRAÇA PÚBLICA NO RESIDENCIAL MORAR MELHOR - EMENDA PARLAMENTAR Nº. 355,390,5168,0239-2016,02/05/2016,11/03/2017,100000,9467;
52,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTA CRUZ DO XINGU,SANTA CRUZ DO XINGU,Construção de Quadra de Areia na Av. dos Imigrantes esquina com a Rua Marcelina Simão da Silva no Município de Santa Cruz do Xingú - MT.,72,5168,062/2015,17/12/2015,22/10/2016,75000,14870;
53,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTA RITA DO TRIVELATO,SANTA RITA DO TRIVELATO,REFORMA DO CLUBE DOS IDOSOS VERDES CAMPOS. Emenda n.º 059/2016 - Romoaldo Jr.,390,5168,0450-2016,21/06/2016,31/12/2016,20000,1921;
54,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTA RITA DO TRIVELATO,SANTA RITA DO TRIVELATO,Reforma do Centro de Eventos no municipio de Santa Rita do Trivelato,72,5168,027/2014,03/07/2014,20/03/2017,49108,24257;
55,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTO AFONSO,SANTO AFONSO,Construção de Calçadas no Perimetro Urbano do Municipio de Santo Afonso - MT.,72,5168,031/2014,03/07/2014,20/03/2017,396999,42843;
56,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTO AFONSO,SANTO AFONSO,Pavimentação em Piso de Granilite e Demais Benfeitorias no Centro de Múltiplo Uso no Município de Santo Afonso - MT. Emenda Parlamentar n.º 136/2016 - Deputado Wagner Ramos.,390,5168,0531-2016,09/06/2016,06/04/2017,100000,12085;
57,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SANTO ANTONIO DO LESTE,SANTO ANTÔNIO DO LESTE,AQUISIÇÃO DE LAMA ASFÁLTICA,72,5168,008/2015,29/10/2015,15/04/2017,50000,2000;
58,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SÃO JOSÉ DO RIO CLARO,SÃO JOSÉ DO RIO CLARO,Reestruturação da Praça Central João Cuca,72,5168,027/2015,08/12/2015,22/08/2017,200000,17004;
59,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SÃO JOSÉ DOS QUATRO MARCOS,SÃO JOSÉ DOS QUATRO MARCOS,Aquisição de Emulsão Asfáltica para revitalização de vias urbanas no município de São José dos Quatro Marcos - MT.,72,5168,020/2015,02/12/2015,21/01/2017,50000,5602;
60,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SÃO PEDRO DA CIPA,SÃO PEDRO DA CIPA,Implantação do Sistema de Rede de Água no Jardim Ceara no Município de São Pedro da Cipa - MT.,72,5168,098/2015,21/12/2015,08/10/2016,150000,6250;
61,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SÃO PEDRO DA CIPA,SÃO PEDRO DA CIPA,Obras de Recomposição em PMF de vias Urbanas no município de São Pedro da Cipa. Emenda n.º 110/2016 - Max Russi.,390,3117,0876-2016,22/06/2016,22/06/2017,449999,19993;
62,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE SORRISO,SORRISO,Construção de Uma Praça no Bairro Jardim Primavera,72,5168,030/2014,01/07/2014,21/01/2017,350000,59717;
63,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE TANGARÁ DA SERRA,TANGARÁ DA SERRA,Aquisição de Emulsão Asfáltica para pavimentação asfáltica Urbana em PMF no distrito de SÃO JOAQUIM DO BOCHE em Tangará da Serra/MT.,72,5168,069/2015,17/12/2015,31/03/2017,100000,4784;
64,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE TAPURAH,TAPURAH,Aquisição de Emulsão Asfáltica RL-1C para recuperação de ruas do município de Tapurah-MT. Emenda parlamentar nº 98/2016.,390,3117,0992-2016,15/06/2016,15/06/2017,150000,6000;
65,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE VILA BELA DA SANTÍSSIMA TRINDADE,VILA BELA DA SANTÍSSIMA TRINDADE,Construção de Rede de Distribuição de Água no P.A Seringal no Município de Vila Bela da Santíssima Trindade - MT.,72,5168,050/2015,15/12/2015,31/12/2016,70000,4159;
