ID,UNIDADE,CONVENIADA,MUNICIPIO,PROGRAMA,AÇÃO,OBJETO,NUMERO,INI,FIM,VL.CONVENIO,VL.CONTRAPARTE;
30,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NOVA GUARITA,NOVA GUARITA,Repasse de Recurso Financeiro para pagamento de Despesa com pessoal habilitado a Desenvolver Programa de Educação Especial.,398,2220,0234-2017,29/05/2017,31/12/2018,120000,0;
31,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NOVA MONTE VERDE,NOVA MONTE VERDE,Repasse de Recurso Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0246-2017,06/06/2017,31/12/2018,180000,0;
32,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NOVA MUTUM,NOVA MUTUM,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0546-2017,05/07/2017,31/12/2018,177000,0;
33,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NOVA XAVANTINA,NOVA XAVANTINA,Repasse de Recurso Financeiro para pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0417-2017,03/07/2017,31/12/2018,189000,0;
34,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE PARANATINGA,PARANATINGA,REPASSE DE RECURSOS FINANCEIROS PARA PAGAMENTO DE DESPESAS COM PESSOAL HABILITADO A DESENVOLVER PROGRAMAS DE EDUCAÇÃO ESPECIAL.,398,2220,0351-2017,10/07/2017,31/12/2018,180000,0;
35,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0245-2017,21/06/2017,31/12/2018,228000,0;
36,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE POCONÉ,POCONÉ,Repasse de recursos financeiros para pagamento de despesas com pessoal habilitado a desenvolver programas de Educação Especial.,398,2220,0165-2017,12/07/2017,31/12/2018,270000,0;
37,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE PONTES E LACERDA,PONTES E LACERDA,Repasse de Recurso Financeiros para pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0062-2017,06/06/2017,31/12/2018,288000,0;
38,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE PRIMAVERA DO LESTE,PRIMAVERA DO LESTE,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0339-2017,12/06/2017,31/12/2018,405000,0;
39,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE RIBEIRÃO CASCALHEIRA,RIBEIRÃO CASCALHEIRA,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0803-2017,03/10/2017,31/12/2018,120000,0;
40,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE RONDONÓPOLIS,RONDONÓPOLIS,Repasse de recursos financeiros para pagamento de despesas com pessoal habilitado a desenvolver programas de Educação Especial,398,2220,0065-2017,29/05/2017,31/12/2018,597000,0;
41,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ROSARIO OESTE,ROSÁRIO OESTE,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas da Educação Especial.,398,2220,0455-2017,23/06/2017,31/12/2018,192000,0;
42,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SÃO JOSE DOS QUATRO MARCOS,SÃO JOSÉ DOS QUATRO MARCOS,Repasse de Recurso Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0567-2017,06/07/2017,31/12/2018,114000,0;
43,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SAPEZAL,SAPEZAL,Repasse de recursos financeiros para pagamento de despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0776-2017,21/07/2017,31/12/2018,213000,0;
44,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SINOP,SINOP,Repasse de recursos financeiros para o pagamento de despesas com pessoal habilitado a desenvolver programas de Educação Especial.,398,2220,0123-2017,06/06/2017,31/12/2018,630000,0;
45,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SORRISO,SORRISO,REPASSE DE RECURSOS FINANCEIROS PARA PAGAMENTO DE DESPESAS COM PESSOAL HABILITADO A DESENVOLVER PROGRAMAS DE EDUCAÇÃO ESPECIAL.,398,2220,0145-2017,21/06/2017,31/12/2018,378000,0;
46,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE TANGARÁ DA SERRA,TANGARÁ DA SERRA,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0205-2017,08/06/2017,31/12/2018,720000,0;
47,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE TAPURAH,TAPURAH,Repasse de Recursos Financeiro para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0254-2017,12/06/2017,31/12/2018,135000,0;
48,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE VERA,VERA,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0225-2017,21/07/2017,31/12/2018,75000,0;
49,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ASSOCIACÃO DE PAIS E AMIGOS DOS EXCEPCIONAL DE PEDRA PRETA - CENTRO DE EDUCAÇÃO ESPECIAL RENASCER,PEDRA PRETA,Repasse de Recursos Financeiros para pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação,398,2220,0273-2017,21/06/2017,31/12/2018,120000,0;
50,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,APAE - ESCOLA ESPECIAL RENASCER DE TERRA NOVA DO NORTE,TERRA NOVA DO NORTE,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0300-2017,29/05/2017,31/12/2018,198000,0;
51,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS DE DIAMANTINO,DIAMANTINO,Repasse de recursos financeiros para pagamento de despesas com pessoal habilitado a desenvolver programas de Educação Especial.,398,2220,0188-2017,29/05/2017,31/12/2018,162000,0;
52,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO BARRAGARCENSE DOS CEGOS,BARRA DO GARÇAS,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas na Aérea de Deficiência Visual .,398,2220,0289-2017,06/09/2017,31/12/2018,111000,0;
53,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO DE APOIO AO PORTADOR DE DEFICIÊNCIA SENSORIAL - AAPDS,ALTA FLORESTA,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,1140-2017,20/09/2017,31/12/2018,210000,0;
54,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE APIACAS,APIACÁS,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0481-2017,28/06/2017,31/12/2018,108000,0;
55,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO DOS CADEIRANTES DE SORRISO,SORRISO,Programa de Equoterapia para Beneficiar crianças com deficiência física e/ ou mental oferecendo um serviço especializado especifico para patologia neurológicas garantindo máxima resolutividade complementar e interdisciplinar que utiliza cavalo dentro de uma abordagem nas áreas de educação e saúde e equitação buscando o desenvolvimento o desenvolvimento biopsicossocial de pessoal com necessidades especiais,398,2220,0827-2017,16/08/2017,31/12/2018,135000,0;
56,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO ECOLÓGICA E CENTRO DE EQUOTERAPIA NATIVO,VÁRZEA GRANDE,Repasse de Recursos Financeiros para Pagamento com Pessoas Habilitado a Desenvolver Programas de Equoterapia para Beneficiar Crianças com Deficiência Fiscal e Mental Oferecendo um Serviço Especializado Patológica Neurológica Garantindo Máxima Resolutividade Complementar e Interdisciplinar que utiliza cavalo dentro de uma abordagem nas áreas de Educação e Saúde.,398,2220,0745-2017,02/08/2017,31/12/2018,300000,0;
57,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO ESPÍRITA EURÍPEDES BARSANULFO,VÁRZEA GRANDE,Reforma da edificação existente substituição do tipo de cobertura bem como substituição do forro serviços de revestimento e pintura em geral substituição de esquadrias - portas dos boxes dos banheiros masculino e feminino e janelas de todo o pavimento térreo da escola visando a salubridade das salas de aulas.,398,2217,0304-2016,22/12/2016,13/08/2018,259085,0;
58,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO PESTALOZZI DE ÁGUA BOA,ÁGUA BOA,Repasse de Recurso Financeiro para pagamento de Despesa com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0050-2017,29/05/2017,31/12/2018,321000,0;
59,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO PESTALOZZI DE COTRIGUAÇU,COTRIGUAÇU,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0263-2017,06/06/2017,31/12/2018,108000,0;
60,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO PESTALOZZI DE CUIABA,CUIABÁ,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0174-2017,01/06/2017,31/12/2018,528000,0;
61,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIACÃO PESTALOZZI DE DOM AQUINO,DOM AQUINO,Repasse de Recurso Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0129-2017,23/08/2017,31/12/2018,204000,0;
62,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO PESTALOZZI DE JACIARA,JACIARA,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0212-2017,06/06/2017,31/12/2018,174000,0;
63,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO PESTALOZZI DE JUARA,JUARA,Repasse de Recursos Financeiros para Pagamentos de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial.,398,2220,0405-2017,17/07/2017,31/12/2018,156000,0;
64,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO PESTALOZZI DE JUÍNA,JUINA,Repasse para recursos financeiros para pagamento de Despesas com pessoal habilitado a desenvolver Programa de Educação Especial.,398,2220,0337-2017,06/06/2017,31/12/2018,375000,0;
65,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO PESTALOZZI DE VÁRZEA GRANDE,VÁRZEA GRANDE,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0161-2017,19/06/2017,31/12/2018,345000,0;
66,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO RONDONOPOLITANA DE DEFICIENTES VISUAIS - ARDV,RONDONÓPOLIS,Promover a integração e a inclusão dos deficientes visuais no mercado educação cultura esporte e lazer.,398,2220,0223-2017,21/08/2017,31/12/2018,120000,0;
67,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,ASSOCIAÇÃO VARZEAGRANDENSE DE DEFICIENTES FÍSICOS,VÁRZEA GRANDE,Repasse de Recursos financeiros para pagamento de profissionais para cursos profissionalizante.,398,2220,0840-2017,29/08/2017,31/12/2018,255000,0;
68,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,CENTRO DE REABILITAÇÃO LOUIS BRAILLE,RONDONÓPOLIS,Repasse de recursos financeiros para pagamento de despesas com pessoal habilitado a Desenvolver Programas de Educação Especial.,398,2220,0075-2017,06/06/2017,31/12/2018,360000,0;
69,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,CENTRO EQÜESTRE DE VÁRZEA GRANDE,VÁRZEA GRANDE,Repasse de Recursos Financeiros para Pagamento com Pessoas Habilitado a Desenvolver Programas de Equoterapia para Beneficiar Crianças com Deficiência Física e Mental Oferecendo um Serviço Especializado Patológica Neurologica Garantindo Maxima Resolutiva Complementar e Interdisciplinar que utiliza cavalo dentro de uma abordagem nas áreas de Educação e saúde,398,2220,0825-2017,06/09/2017,31/12/2018,300000,0;
70,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,CENTRO PEDAGÓGICO DE ENSINO ESPECIAL REGINA MARIA - CENPER,CUIABÁ,Repasse de Recursos Financeiros para Pagamento de Despesas com Pessoal Habilitado a Desenvolver Programas de Educação Especial,398,2220,0162-2017,06/06/2017,31/12/2018,300000,0;
71,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,EM CENA ESCOLA DE ARTES DE CUIABÁ,CUIABÁ,Promover a realização de 20 apresentações do Grande Circo do Palhaço Zabilim Plim Plim artísticas e 03 oficinas de técnica de iniciação ao teatro. Objetiva-se alcançar o maior número possível de espectadores por meio das artes cênicas através da linguagem circenses garantir o acesso cultural gratuito através da realização de espetáculos e Oficinas de teatro por meio dos eixos temáticos nas comunidades escolares nas cidades de Guarantã do Norte Peixoto de Azevedo e Cuiabá.,398,2218,0628-2017,05/09/2017,31/12/2017,60000,0;
72,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,IDEAES - INSTITUTO PARA O DESENVOLVIMENTO ECONOMICO AMBIENTAL ESPORTIVO E SOCIAL,CUIABA,CURSO PREPARATÓRIO PARA O ENEM - PROPPEN,398,2218,1042-2017,02/08/2017,31/12/2017,303127,0;
73,SECRETARIA DE ESTADO DE EDUCAÇÃO - SEDUC,INSTITUTO CULTURAL AMERICA,CUIABA,Realizar e promover a 2ª edição da FLIC - Festa Literária de Chapada dos Guimarães durante 02 dias com data de realização prevista para 12 e 13 de maio de 2017 com uma programação gratuita no município de Chapada dos Guimarães-MT.,398,2220,0590-2017,12/05/2017,26/01/2018,200000,0;
